% The water continuum used by the December 2002 "version 7" AIRS
% fast model coefficient is a hybrid of kCARTA's 51 (aka 5.1) and
% 55 (aka 5.5) continuum models developed by UMBC based on the
% CDK models.
%
% Scott Hannon, 13 March 2003
%
% ID = AIRS channel ID (PGE version)
% freq = channel centroid frequency (cm^-1)
% CKD = kCARTA continuum version number
% mult = multiplier applied to the kCARTA continuum 
%
% in SPECTRA/ckd_lookupBIN_v60special.m we combine CKD 51 and CKD 55 as below
%
% ID    freq   CKD   mult
%---- -------- --- --------
  583  842.310  51  0.87000
  584  842.710  51  0.87000
  585  843.111  51  0.87000
  586  843.512  51  0.87000
  587  843.913  51  0.87000
  588  844.315  51  0.87000
  589  844.717  51  0.87000
  590  845.119  51  0.87000
  591  845.522  51  0.87000
  592  845.925  51  0.87000
  593  846.329  51  0.87000
  594  846.732  51  0.87000
  595  847.137  51  0.87000
  596  847.541  51  0.87000
  597  847.946  51  0.87000
  598  848.352  51  0.87000
  599  848.757  51  0.87000
  600  849.163  51  0.87000
  601  849.570  51  0.87000
  602  849.977  51  0.87000
  603  850.384  51  0.87000
  604  850.791  51  0.87000
  605  851.199  51  0.87000
  606  851.607  51  0.87000
  607  852.016  51  0.87000
  608  852.425  51  0.87000
  609  851.490  51  0.87000
  610  851.797  51  0.87000
  611  852.104  51  0.87000
  612  852.411  51  0.87000
  613  852.718  51  0.87000
  614  853.026  51  0.87000
  615  853.334  51  0.87000
  616  853.642  51  0.87000
  617  853.950  51  0.87000
  618  854.259  51  0.87000
  619  854.568  51  0.87000
  620  854.877  51  0.87000
  621  855.186  51  0.87000
  622  855.495  51  0.87000
  623  855.805  51  0.87000
  624  856.115  51  0.87000
  625  856.426  51  0.87000
  626  856.736  51  0.87000
  627  857.047  51  0.87000
  628  857.358  51  0.87000
  629  857.669  51  0.87000
  630  857.981  51  0.87000
  631  858.292  51  0.87000
  632  858.604  51  0.87000
  633  858.917  51  0.87000
  634  859.229  51  0.87000
  635  859.542  51  0.87000
  636  859.855  51  0.87000
  637  860.168  51  0.87000
  638  860.482  51  0.87000
  639  860.795  51  0.87000
  640  861.109  51  0.87000
  641  861.424  51  0.87000
  642  861.738  51  0.87000
  643  862.053  51  0.87000
  644  862.368  51  0.87000
  645  862.683  51  0.87000
  646  862.998  51  0.87000
  647  863.314  51  0.87000
  648  863.630  51  0.87000
  649  863.946  51  0.87000
  650  864.263  51  0.87000
  651  864.579  51  0.87000
  652  864.896  51  0.87000
  653  865.214  51  0.87000
  654  865.531  51  0.87000
  655  865.849  51  0.87000
  656  866.167  51  0.87000
  657  866.485  51  0.87000
  658  866.803  51  0.87000
  659  867.122  51  0.87000
  660  867.441  51  0.87000
  661  867.760  51  0.87000
  662  868.080  51  0.87000
  663  868.399  51  0.87000
  664  868.719  51  0.87000
  665  869.040  51  0.87000
  666  869.360  51  0.87000
  667  869.681  51  0.87000
  668  870.002  51  0.87000
  669  870.323  51  0.87000
  670  870.645  51  0.87000
  671  870.966  51  0.87000
  672  871.288  51  0.87000
  673  871.611  51  0.87000
  674  871.933  51  0.87000
  675  872.256  51  0.87000
  676  872.579  51  0.87000
  677  872.902  51  0.87000
  678  873.226  51  0.87000
  679  873.550  51  0.87000
